method,method_display_name,method_group,fold,seed,human_ssl_seed,transfer,best_epoch,subject_dice,iou,loss,delta_vs_imagenet,encoder,encoder_init,human_adaptation_type,human_adaptation_depth,alpha,feature_anchor,feature_anchor_layers,lambda_feature,cat_aware,lambda_cat,encoder_checkpoint,run_path,result_file
imagenet,ImageNet,baseline,0,0,,frozen,33,0.8803132730336616,0.7881582589658609,0.2688116361486151,nan,vit_b16,imagenet,none,none,,False,,,False,,imagenet_pretrained,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\imagenet\fold0\seed0,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\imagenet\fold0\seed0\validation_metrics.json
imagenet,ImageNet,baseline,0,1,,frozen,44,0.8831936877879096,0.7927020945820817,0.2502125989883504,nan,vit_b16,imagenet,none,none,,False,,,False,,imagenet_pretrained,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\imagenet\fold0\seed1,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\imagenet\fold0\seed1\validation_metrics.json
imagenet,ImageNet,baseline,0,2,,frozen,30,0.8762475042077892,0.7816821386544579,0.26307945238783004,nan,vit_b16,imagenet,none,none,,False,,,False,,imagenet_pretrained,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\imagenet\fold0\seed2,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\imagenet\fold0\seed2\validation_metrics.json
full_human_mae,Full Human MAE,full_adaptation,0,0,0,frozen,42,0.8689002648266545,0.7705215660885445,0.28444767315337,-0.01141300820700708,vit_b16,human_mae,mae,full,,False,,,False,,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_recipe_ablation\baseline\last_encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\full_human_mae\fold0\seed0,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\full_human_mae\fold0\seed0\validation_metrics.json
full_human_mae,Full Human MAE,full_adaptation,0,1,1,frozen,40,0.864500275124546,0.7634949262624997,0.2845083329271763,-0.018693412663363662,vit_b16,human_mae,mae,full,,False,,,False,,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_adaptation_depth\full\seed1\mae\last_encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\full_human_mae\fold0\seed1,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\full_human_mae\fold0\seed1\validation_metrics.json
full_human_mae,Full Human MAE,full_adaptation,0,2,2,frozen,45,0.8639764830455035,0.7626370955456074,0.2774257482366359,-0.012271021162285733,vit_b16,human_mae,mae,full,,False,,,False,,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_adaptation_depth\full\seed2\mae\last_encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\full_human_mae\fold0\seed2,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\full_human_mae\fold0\seed2\validation_metrics.json
human_mae_last2,Human MAE Last2,constrained_depth,0,0,0,frozen,33,0.8825408724387065,0.7917943372569523,0.2659604118225422,0.002227599405044911,vit_b16,human_mae,mae,last2,,False,,,False,,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_adaptation_depth\last2\seed0\mae\last_encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\constrained_human_mae_last2\fold0\seed0,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\constrained_human_mae_last2\fold0\seed0\validation_metrics.json
human_mae_last2,Human MAE Last2,constrained_depth,0,1,1,frozen,44,0.8830391108098239,0.7924427871241615,0.2506904570346183,-0.0001545769780857409,vit_b16,human_mae,mae,last2,,False,,,False,,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_adaptation_depth\last2\seed1\mae\last_encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\constrained_human_mae_last2\fold0\seed1,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\constrained_human_mae_last2\fold0\seed1\validation_metrics.json
human_mae_last2,Human MAE Last2,constrained_depth,0,2,2,frozen,46,0.8805044899922448,0.7883791616953175,0.2464187297415226,0.004256985784455658,vit_b16,human_mae,mae,last2,,False,,,False,,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_adaptation_depth\last2\seed2\mae\last_encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\constrained_human_mae_last2\fold0\seed2,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\constrained_human_mae_last2\fold0\seed2\validation_metrics.json
human_mae_last4,Human MAE Last4,constrained_depth,0,0,0,frozen,33,0.8809563823461746,0.7891180417753703,0.26772299345503464,0.0006431093125129905,vit_b16,human_mae,mae,last4,,False,,,False,,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_recipe_ablation\partial_last4\last_encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_screening\human_mae_last4\fold0\seed0,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_screening\human_mae_last4\fold0\seed0\validation_metrics.json
