method,fold,seed,human_ssl_seed,encoder_checkpoint,frozen_run_path,result_file
imagenet,0,0,,imagenet_pretrained,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\imagenet\fold0\seed0,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\imagenet\fold0\seed0\validation_metrics.json
imagenet,0,1,,imagenet_pretrained,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\imagenet\fold0\seed1,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\imagenet\fold0\seed1\validation_metrics.json
imagenet,0,2,,imagenet_pretrained,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\imagenet\fold0\seed2,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\imagenet\fold0\seed2\validation_metrics.json
full_human_mae,0,0,0,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_recipe_ablation\baseline\last_encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\full_human_mae\fold0\seed0,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\full_human_mae\fold0\seed0\validation_metrics.json
full_human_mae,0,1,1,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_adaptation_depth\full\seed1\mae\last_encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\full_human_mae\fold0\seed1,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\full_human_mae\fold0\seed1\validation_metrics.json
full_human_mae,0,2,2,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_adaptation_depth\full\seed2\mae\last_encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\full_human_mae\fold0\seed2,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\full_human_mae\fold0\seed2\validation_metrics.json
human_mae_last2,0,0,0,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_adaptation_depth\last2\seed0\mae\last_encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\constrained_human_mae_last2\fold0\seed0,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\constrained_human_mae_last2\fold0\seed0\validation_metrics.json
human_mae_last2,0,1,1,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_adaptation_depth\last2\seed1\mae\last_encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\constrained_human_mae_last2\fold0\seed1,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\constrained_human_mae_last2\fold0\seed1\validation_metrics.json
human_mae_last2,0,2,2,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_adaptation_depth\last2\seed2\mae\last_encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\constrained_human_mae_last2\fold0\seed2,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\constrained_human_mae_last2\fold0\seed2\validation_metrics.json
human_mae_last4,0,0,0,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_recipe_ablation\partial_last4\last_encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_screening\human_mae_last4\fold0\seed0,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_screening\human_mae_last4\fold0\seed0\validation_metrics.json
human_mae_last6,0,0,0,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_adaptation_depth\last6\seed0\mae\last_encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_screening\human_mae_last6\fold0\seed0,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_screening\human_mae_last6\fold0\seed0\validation_metrics.json
human_mae_alpha_0p1,0,0,0,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_weight_interpolation\alpha_0p1\encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\human_mae_alpha_0p1\fold0\seed0,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\human_mae_alpha_0p1\fold0\seed0\validation_metrics.json
human_mae_alpha_0p1,0,1,1,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\human_mae_alpha_0p1_reproducibility\seed1\encoder.pt,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\human_mae_alpha_0p1\fold0\seed1,D:\_EUIJIN\Code\Feline_Transfer_Learning\runs\cat_frozen_encoder_probe\human_mae_alpha_0p1\fold0\seed1\validation_metrics.json
